,composer,description,symphony,file,part,tempo,bpm,duration,zero_crossings,spectral_centroid_avg,spectral_bw_avg,Chroma_A,Chroma_A#,Chroma_B,Chroma_C,Chroma_C#,Chroma_D,Chroma_D#,Chroma_E,Chroma_F,Chroma_F#,Chroma_G,Chroma_G#,MFCC_0,MFCC_1,MFCC_10,MFCC_11,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_SD_0,MFCC_SD_1,MFCC_SD_10,MFCC_SD_11,MFCC_SD_2,MFCC_SD_3,MFCC_SD_4,MFCC_SD_5,MFCC_SD_6,MFCC_SD_7,MFCC_SD_8,MFCC_SD_9,Chroma_SD_A,Chroma_SD_A#,Chroma_SD_B,Chroma_SD_C,Chroma_SD_C#,Chroma_SD_D,Chroma_SD_D#,Chroma_SD_E,Chroma_SD_F,Chroma_SD_F#,Chroma_SD_G,Chroma_SD_G#
0,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp1.mp3,Prelude,Andantino,120.18531976744184,93.57061224489796,98094,621.5747477780782,881.9239759966027,0.3329508869455951,0.2598154069110902,0.14187592081457803,0.17405855645045218,0.2353146753222064,0.19166799714427943,0.2704266740256262,0.3286340866803987,0.23252745932123006,0.05550074331485949,0.05002676258556552,0.20581507726400278,-460.60197812600154,226.49124912707364,-11.972694970246074,-8.96165704450109,38.00191265135545,-28.41670416906026,-2.137931569974568,8.364058063634497,-1.3406506427209808,-1.2100060048789607,-0.8910561917030982,-8.36066514604322,51.11474461424357,39.88448630934416,10.258744599700856,7.940055408411621,18.92355937614724,13.85865860577811,8.840869664994266,10.255845762799211,9.868163254642829,9.547940740451272,8.047099614358135,10.341317540644528,0.2457631961951169,0.20617408000197962,0.1757794055662521,0.19322255491962556,0.19586441629916393,0.21001225451065544,0.15220151622044875,0.20750047815411543,0.16738306951110765,0.11037756827744388,0.08862581137054815,0.16756135082066462
1,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp2.mp3,Tango,Andantino,120.18531976744184,128.70530612244895,110224,542.0393552684362,786.2228044391812,0.29064009057107476,0.24059877586920508,0.1610599275110396,0.16048038453650715,0.31735042987787554,0.36243138047457724,0.250595370060873,0.17480957651438678,0.17258292666536507,0.18623671540935494,0.17023846066369894,0.23445665406803523,-416.9794009928992,234.50757928936366,-12.656357628369035,-5.007493443323787,46.503257224295005,-21.155055946912935,3.117399079148628,11.190940809523983,-2.6636060773509267,-5.750077632683431,-4.57797533989551,-10.412384018192675,42.476780297644964,34.012655153062184,8.296887053415256,6.974391742010201,16.496644630291602,8.28183334834537,8.230653645368191,9.09303148674049,8.527912402311921,7.075144785751218,8.420089149680193,9.787803919061927,0.21887580540785784,0.128528795623991,0.1974795791016121,0.14890074766537828,0.14774378669154004,0.18962848706681976,0.13803479683757494,0.1709949335388591,0.1577633954599982,0.16753672792293128,0.13546258021334948,0.17064039463045988
2,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp3.mp3,Malaguena,Allegretto,117.45383522727272,176.03918367346938,214944,701.1401121234861,1004.9382325888083,0.14264071758160676,0.21877592896443165,0.33495900995502503,0.2819328079014318,0.1389178953932309,0.17062666207516647,0.29544073483583283,0.30193437217693647,0.26300117494887,0.33573812136696585,0.2482788939036455,0.1303835561407043,-415.15436356381,226.70740430613438,-7.681436442412016,4.395139534272921,20.98587175887018,-28.616815523225746,-1.6145661056881873,-6.9194539489901565,-15.67393384545785,-7.77474679362764,-7.002156013208589,-13.097942281882409,48.93077356927058,31.8126245776815,11.203908955363604,10.75892315086317,20.239581925577642,9.965103611730884,12.35965053871906,10.991757595881996,9.7304182178586,7.520422163669523,7.144718915524215,11.061401052966477,0.1637187537601677,0.16154824545845456,0.16985997917186868,0.13268036704624295,0.12031676913099468,0.15442952400352486,0.15816019731762257,0.1562809819321267,0.1225668308837631,0.14068905435328363,0.12491036846595244,0.12318304287805508
3,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp4.mp3,Serenata,Allegretto,112.34714673913044,195.42204081632653,203680,631.0941194792882,794.2349015002715,0.20407212919127327,0.22553843756841935,0.22566570050759333,0.22511552404969742,0.31240756005733605,0.39807432987210795,0.31742521978695404,0.1314987940978035,0.11908683302317667,0.20002331361748243,0.21714938248550283,0.18547817202334696,-421.06646191206244,229.8226684544192,-9.827731990717117,-0.1972747562535723,27.742129585456087,-27.246998256119458,1.1207465919927218,-0.7033297682086047,-12.578907863483014,-7.709061895692282,-6.4568737042478865,-12.295674584687644,54.24443124589281,42.754861317778605,11.27892674338762,11.2014974801065,19.46259708786299,10.527446057483605,10.41262326034167,10.998139908600368,8.790443161168024,8.05165522235178,9.281009182080382,10.856591961230437,0.15898185840510465,0.15769202045669678,0.16663198512297253,0.1755085438751948,0.14263730841095404,0.18389216507128342,0.15862827351881278,0.137726152352314,0.13762790278008602,0.148854884400073,0.16666493028790189,0.14193155750902434
4,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp5.mp3,Capricho Catalan,Allegretto,120.18531976744184,124.4995918367347,118904,570.2655974209011,737.0100281213278,0.3094783927048661,0.41647714605488745,0.27285075082776183,0.06713817840054162,0.12165674432543487,0.33859450886620895,0.40629874855971637,0.22366997912472955,0.13977220941314356,0.16599557180836425,0.2302267875824167,0.19451877041413113,-425.54594505215397,246.4755206106392,-12.84993571568744,-5.356465672121081,52.156464891934725,-22.871223239661834,-3.203815527178587,3.675067903710413,-8.800122018798234,-9.828387833476153,-8.158175471682506,-13.171225107412216,41.125530925924856,30.4259903748132,9.45747124348577,10.012629424342316,18.570122420559656,9.486437510714174,8.274554543185543,8.618852936746823,8.5935679866447,5.944428187943752,6.525252444680951,9.030213535640607,0.09142914366088596,0.14073695805909722,0.11919180940184913,0.09574142721557957,0.10387536604040393,0.10093414056663788,0.08179125038106017,0.10788254531038328,0.13389328234669354,0.12519727431793692,0.16629726324066502,0.131249759787396
5,albeniz,Albeniz  Isaac(1860-1909),Espana Opus 165,alb_esp6.mp3,Zortzico,Allegretto,112.34714673913044,154.8277551020408,164246,631.6384207866032,733.705786995616,0.22323595006176772,0.32541620977460023,0.41286413065392025,0.316161636781399,0.13920585002227207,0.15429123466097183,0.226467555544246,0.24540969782222355,0.1860039214173324,0.1665768144393821,0.17092934166558715,0.2316663672891312,-429.83912178550685,235.0644914079317,-12.46105104117014,-2.2097816232449063,39.275825578310645,-28.249358516712665,-2.8828896692180854,1.0660007061150019,-13.706548283977886,-12.03400845330159,-9.196829776499044,-14.915794977242191,46.96883078767703,37.8354017821911,10.443036153750285,11.28786686575527,15.683016081751257,11.224417038574593,10.493797907125659,12.208986602299227,10.28619070696337,8.37359189490457,7.691741893915405,10.642793907963602,0.15257048481375843,0.11938937945496032,0.19712925691138478,0.1336561826819852,0.15936375396349406,0.1408702422649197,0.15739371258513266,0.1642118795203373,0.12035497060821244,0.1460043028670302,0.13696779732694553,0.16771482099243767
6,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se1.mp3,Granada,Allegretto,132.51201923076923,241.6587755102041,317856,643.6168027795918,739.8008480308633,0.2619365802875389,0.18322164101953103,0.2659215619344263,0.42119679189498055,0.2587473641049861,0.13177098817234273,0.22830610864827094,0.40688240506666973,0.37269440850405217,0.16795947398107777,0.09407126285009065,0.1436589899458296,-442.76638235145987,240.91553292507703,-1.7411024469847527,-0.21271845588355232,36.424799842507355,-38.54256371472387,-13.32090242243783,-3.799979248807704,-11.060532292790743,-3.094780855154327,2.8005752800713055,-1.7381036394256637,60.772860106473566,52.18518447719124,8.63218475991401,6.739145755094316,16.661392272570293,11.958598710959155,9.982165486329432,6.306992700640133,6.656600118952666,7.938139871296865,7.476303952031373,9.409660667166953,0.13214001546958512,0.11640700670389442,0.08109749510181784,0.08393271723651248,0.06022065164512764,0.13856736746655066,0.16700262418951162,0.10964306056625758,0.1132251937173176,0.0964891068727669,0.1006743413290037,0.10710299619807363
7,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se2.mp3,Cataluna (Curranda),Allegro,156.60511363636363,240.9795918367347,314238,727.9523048891517,721.8852176774141,0.2939647258498494,0.29735265114441545,0.14605361871170824,0.16334089649239825,0.24863810989777158,0.3521044407106064,0.25484160113005766,0.14163356005599925,0.19600437431144133,0.29394610231642004,0.26721148738900236,0.21641323044308983,-418.63556107655313,252.32970148310628,-5.1166292931636495,-1.2431522163795614,28.825555621262748,-39.54794079888103,-4.419516990870268,0.8707944695421377,-13.251509314252809,-7.619173479186995,-2.0340307998539533,-6.037739122681118,45.85249408977516,33.69130379563888,8.049514724397273,7.548660167793967,19.88351715925423,11.0697246392532,12.099430023790234,8.503512035390559,10.823898714832591,8.410844808594222,6.585941403164838,6.613637846332401,0.12708392235935906,0.13724385981603796,0.11401115126217116,0.14653405783244555,0.15102172402332337,0.14359196680676473,0.14408508402465212,0.13909196102285817,0.16770705448608267,0.1387454853476909,0.2097837645049712,0.13754025568036263
8,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se3.mp3,Sevilla,Allegretto,109.95678191489357,251.87265306122453,349920,743.3851628620165,747.1529516972232,0.17115877049885864,0.2156793971132948,0.24091273278675462,0.23078325337740957,0.2365511120383136,0.3846726344047707,0.295299272416317,0.19534304876931557,0.21932926059930746,0.3221765807234801,0.3332980117840019,0.20673363565993755,-366.58607396165235,255.88240791476184,-5.660014343227672,-0.9158060462752688,34.54288604413307,-34.087129255773085,-1.7140510857720006,0.26843230394740136,-16.623022762600183,-11.65257731750847,-4.300477286169508,-6.82719892879245,25.11883941812827,13.334425938846676,7.411849877904181,5.898010377439458,16.329226350299773,6.588577354104515,9.85920126411206,7.422152891955424,6.897927600527176,6.9586832444222475,5.860601636156064,7.230971707750735,0.12209392368323599,0.09450921629936168,0.14362446661119566,0.09009048063394566,0.08824011639861938,0.11351824535884886,0.10456505154563146,0.1492669332795358,0.16931361954577223,0.07580516213523651,0.1620566124226391,0.1035446981185005
9,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se4.mp3,Cádiz (Saeta),Allegretto,99.38401442307692,221.1004081632653,284980,689.6196289503482,739.5693313639945,0.29622529457056873,0.1413532810901875,0.12212067398152025,0.24499683434682873,0.25765710791131247,0.24210063566184584,0.23082669816871135,0.21954613101584583,0.2565101863932119,0.2226101550653526,0.2998120913617271,0.3827965887702968,-394.55269361281313,224.63252968666797,-4.933795266213364,-3.7247550437274004,38.355871224589954,-31.085787823904763,-7.193247894178033,3.6528807185823857,-7.563962794298629,-8.537976668018203,-3.2786225013490387,-3.646893605484158,37.78093187757514,23.584856386435888,6.401498684946575,7.540808615022343,18.716147126163555,9.602456358524492,9.452963623116215,7.005440058589695,8.198071846173818,8.630377283966835,7.1891685316485665,6.2152538491767695,0.11207003673613383,0.16212288364767496,0.13077810909348678,0.12217726201104757,0.1559016257984699,0.11253278297613303,0.1616648800591841,0.11807538544191022,0.13878284810168784,0.12355956511240884,0.13879072398964543,0.19330743957647858
